
=== [2026-06-11T00:19:20Z] v14d_binary_v2_a_p0i7_lr_peak_4e-05_4ecaf5402d phase=a kind=probe chunk=400 env={"ORBITWARS_SHAPING_HOLD_BONUS": 0.004, "ORBITWARS_SHAPING_CAPTURE": 0.04, "ORBITWARS_SHAPING_RELEASE": 0.012, "ORBITWARS_SHAPING_RELEASE_K": 17.0, "ORBITWARS_SHAPING_PROD_SHARE_DELTA": 0.025, "ORBITWARS_SHAPING_ONE_SHIP_PENALTY": 0.04} ppo={"ent_coef_emit": 0.006, "lr_peak": 4e-05} ===
[reward] kaggle-aligned: terminal +1 win/+1 tie>0/-1 loss/-1 double-wipeout; is_terminal at step >= episode_steps-2; SHAPING_SCALE=0.0; v1: KEEP_HOME=0.0 FLEET_SIZE=0.0/norm20.0; v2 (expert-replay calibrated): PROD_SHARE=0.0 PLANET_SHARE=0.0 FLEET_LOG=0.0/ref500.0/floor0.3; v3 (top10-2630ep calibrated): PROD_SHARE_DELTA=0.025 EMIT_LOG=0.0 EMIT_GATED=0.0 RELEASE=0.012/K17.0 CAPTURE=0.04; episode_steps=500 (kaggle=500, mismatch=False)
[symmetric] Frog Parade style: same params drive BOTH players, no frozen/strong/buffer opponents, zero_sum_value=True
upd   13  steps   28672  sps 456  opp symm  loss -0.046  pg -0.0302  v 0.003  ev +0.96  adv_std 0.069  tR -0.33  ent[s/d/p/e] 2.02/2.39/1.26/0.60  emits 0.52  spf 75.2  z0 0.69  garr 87.0  tG 920  e2 0.11  nF 5.3  pS 0.42  ptS 0.42  fLog 0.61  pdΔ -0.0783  pkR 6.90  clip 0.11  kl +0.004
upd   14  steps   30720  sps 484  opp symm  loss -0.030  pg -0.0142  v 0.003  ev +0.97  adv_std 0.062  tR +0.00  ent[s/d/p/e] 2.11/2.42/1.19/0.58  emits 0.44  spf 81.6  z0 0.73  garr 91.8  tG 917  e2 0.10  nF 4.8  pS 0.41  ptS 0.40  fLog 0.63  pdΔ -0.0895  pkR 3.56  clip 0.13  kl +0.004
upd   15  steps   32768  sps 511  opp symm  loss -0.032  pg -0.0380  v 0.044  ev +0.71  adv_std 0.321  tR +0.00  ent[s/d/p/e] 1.77/2.28/1.28/0.51  emits 0.38  spf 80.5  z0 0.74  garr 65.3  tG 615  e2 0.08  nF 3.5  pS 0.29  ptS 0.29  fLog 0.60  pdΔ -0.2072  pkR 5.12  clip 0.07  kl +0.004
upd   16  steps   34816  sps 538  opp symm  loss +0.052  pg +0.0634  v 0.007  ev +0.84  adv_std 0.119  tR +0.00  ent[s/d/p/e] 1.15/2.16/1.38/0.42  emits 0.24  spf 47.4  z0 0.82  garr 42.0  tG 233  e2 0.04  nF 2.5  pS 0.17  ptS 0.16  fLog 0.55  pdΔ -0.3318  pkR 10.38  clip 0.08  kl +0.004
upd   17  steps   36864  sps 564  opp symm  loss +0.007  pg +0.0193  v 0.006  ev +0.90  adv_std 0.103  tR +1.00  ent[s/d/p/e] 1.47/2.28/1.24/0.46  emits 0.23  spf 56.1  z0 0.82  garr 58.8  tG 345  e2 0.04  nF 2.7  pS 0.21  ptS 0.20  fLog 0.58  pdΔ -0.2865  pkR 7.74  clip 0.09  kl +0.002
upd   18  steps   38912  sps 589  opp symm  loss +0.030  pg +0.0425  v 0.006  ev +0.92  adv_std 0.104  tR +1.00  ent[s/d/p/e] 1.48/2.29/1.33/0.42  emits 0.22  spf 67.5  z0 0.83  garr 83.2  tG 484  e2 0.04  nF 2.5  pS 0.24  ptS 0.23  fLog 0.61  pdΔ -0.2593  pkR 5.40  clip 0.09  kl +0.004
upd   19  steps   40960  sps 614  opp symm  loss +0.010  pg +0.0221  v 0.009  ev +0.91  adv_std 0.124  tR +0.00  ent[s/d/p/e] 1.59/2.50/1.52/0.46  emits 0.22  spf 84.1  z0 0.82  garr 98.1  tG 599  e2 0.03  nF 2.2  pS 0.26  ptS 0.25  fLog 0.66  pdΔ -0.2407  pkR 4.26  clip 0.08  kl +0.003
upd   20  steps   43008  sps 639  opp symm  loss +0.061  pg +0.0740  v 0.007  ev +0.93  adv_std 0.114  tR +0.00  ent[s/d/p/e] 1.70/2.50/1.42/0.43  emits 0.22  spf 95.6  z0 0.83  garr 109.2  tG 716  e2 0.04  nF 2.1  pS 0.29  ptS 0.27  fLog 0.67  pdΔ -0.2063  pkR 3.58  clip 0.08  kl +0.004
upd   21  steps   45056  sps 663  opp symm  loss +0.023  pg +0.0368  v 0.006  ev +0.94  adv_std 0.111  tR +0.00  ent[s/d/p/e] 1.71/2.45/1.40/0.43  emits 0.25  spf 95.3  z0 0.81  garr 118.6  tG 810  e2 0.04  nF 2.2  pS 0.31  ptS 0.29  fLog 0.67  pdΔ -0.1862  pkR 3.35  clip 0.10  kl +0.008
upd   22  steps   47104  sps 686  opp symm  loss +0.004  pg +0.0187  v 0.006  ev +0.96  adv_std 0.103  tR -1.00  ent[s/d/p/e] 1.81/2.51/1.43/0.50  emits 0.27  spf 107.7  z0 0.80  garr 127.3  tG 906  e2 0.05  nF 2.5  pS 0.33  ptS 0.31  fLog 0.68  pdΔ -0.1675  pkR 3.33  clip 0.08  kl +0.002
