
=== [2026-06-10T17:08:34Z] v14d_binary_v2_a_p0i0_ORBITWARS_SHAPING_CAPTURE_0.02_7683c958e8 phase=a kind=probe chunk=400 env={"ORBITWARS_SHAPING_HOLD_BONUS": 0.004, "ORBITWARS_SHAPING_CAPTURE": 0.02, "ORBITWARS_SHAPING_RELEASE": 0.0075, "ORBITWARS_SHAPING_RELEASE_K": 17.0, "ORBITWARS_SHAPING_PROD_SHARE_DELTA": 0.025, "ORBITWARS_SHAPING_ONE_SHIP_PENALTY": 0.025} ppo={"ent_coef_emit": 0.004, "lr_peak": 4e-05} ===
[reward] kaggle-aligned: terminal +1 win/+1 tie>0/-1 loss/-1 double-wipeout; is_terminal at step >= episode_steps-2; SHAPING_SCALE=0.0; v1: KEEP_HOME=0.0 FLEET_SIZE=0.0/norm20.0; v2 (expert-replay calibrated): PROD_SHARE=0.0 PLANET_SHARE=0.0 FLEET_LOG=0.0/ref500.0/floor0.3; v3 (top10-2630ep calibrated): PROD_SHARE_DELTA=0.025 EMIT_LOG=0.0 EMIT_GATED=0.0 RELEASE=0.0075/K17.0 CAPTURE=0.02; episode_steps=500 (kaggle=500, mismatch=False)
[symmetric] Frog Parade style: same params drive BOTH players, no frozen/strong/buffer opponents, zero_sum_value=True
upd   13  steps   28672  sps 459  opp symm  loss -0.000  pg +0.0120  v 0.004  ev +0.97  adv_std 0.090  tR -0.50  ent[s/d/p/e] 1.78/2.09/1.12/0.55  emits 1.27  spf 27.0  z0 0.50  garr 27.5  tG 309  e2 0.29  nF 17.0  pS 0.34  ptS 0.33  fLog 0.45  pdΔ -0.1649  pkR 8.66  clip 0.20  kl +0.001
upd   14  steps   30720  sps 487  opp symm  loss -0.018  pg -0.0061  v 0.005  ev +0.96  adv_std 0.100  tR -0.20  ent[s/d/p/e] 1.79/2.11/1.16/0.54  emits 1.12  spf 28.4  z0 0.53  garr 28.1  tG 313  e2 0.25  nF 14.7  pS 0.32  ptS 0.31  fLog 0.46  pdΔ -0.1833  pkR 11.75  clip 0.21  kl +0.006
upd   15  steps   32768  sps 514  opp symm  loss +0.049  pg +0.0486  v 0.029  ev +0.79  adv_std 0.254  tR -0.12  ent[s/d/p/e] 1.50/1.95/1.23/0.47  emits 0.89  spf 27.2  z0 0.56  garr 24.6  tG 208  e2 0.20  nF 9.9  pS 0.23  ptS 0.23  fLog 0.46  pdΔ -0.2655  pkR 17.64  clip 0.14  kl +0.004
upd   16  steps   34816  sps 541  opp symm  loss +0.039  pg +0.0483  v 0.007  ev +0.89  adv_std 0.115  tR +0.00  ent[s/d/p/e] 1.16/1.70/1.25/0.49  emits 0.81  spf 23.7  z0 0.56  garr 21.9  tG 132  e2 0.19  nF 7.9  pS 0.18  ptS 0.17  fLog 0.45  pdΔ -0.3229  pkR 24.07  clip 0.12  kl +0.002
upd   17  steps   36864  sps 567  opp symm  loss +0.006  pg +0.0156  v 0.007  ev +0.92  adv_std 0.117  tR -1.00  ent[s/d/p/e] 1.24/1.75/1.21/0.54  emits 0.91  spf 25.0  z0 0.54  garr 24.8  tG 161  e2 0.22  nF 10.0  pS 0.22  ptS 0.20  fLog 0.46  pdΔ -0.2816  pkR 9.29  clip 0.24  kl +0.004
upd   18  steps   38912  sps 593  opp symm  loss +0.008  pg +0.0167  v 0.010  ev +0.91  adv_std 0.145  tR +0.00  ent[s/d/p/e] 1.37/1.82/1.23/0.56  emits 1.02  spf 29.1  z0 0.52  garr 29.5  tG 238  e2 0.25  nF 10.5  pS 0.26  ptS 0.24  fLog 0.47  pdΔ -0.2437  pkR 10.10  clip 0.28  kl +0.002
upd   19  steps   40960  sps 618  opp symm  loss +0.041  pg +0.0509  v 0.009  ev +0.93  adv_std 0.138  tR -1.00  ent[s/d/p/e] 1.51/1.94/1.20/0.58  emits 1.06  spf 30.4  z0 0.51  garr 32.3  tG 285  e2 0.26  nF 11.3  pS 0.30  ptS 0.28  fLog 0.47  pdΔ -0.2009  pkR 9.84  clip 0.25  kl +0.005
upd   20  steps   43008  sps 643  opp symm  loss +0.042  pg +0.0518  v 0.009  ev +0.93  adv_std 0.133  tR +1.00  ent[s/d/p/e] 1.52/1.99/1.22/0.58  emits 1.02  spf 31.9  z0 0.53  garr 34.4  tG 301  e2 0.24  nF 11.0  pS 0.30  ptS 0.28  fLog 0.48  pdΔ -0.1996  pkR 9.96  clip 0.19  kl +0.006
upd   21  steps   45056  sps 667  opp symm  loss +0.009  pg +0.0183  v 0.009  ev +0.93  adv_std 0.132  tR -0.33  ent[s/d/p/e] 1.52/1.97/1.21/0.58  emits 1.03  spf 31.3  z0 0.51  garr 30.7  tG 243  e2 0.24  nF 11.4  pS 0.28  ptS 0.26  fLog 0.48  pdΔ -0.2164  pkR 10.46  clip 0.17  kl +0.008
upd   22  steps   47104  sps 690  opp symm  loss -0.003  pg +0.0084  v 0.006  ev +0.96  adv_std 0.110  tR +0.00  ent[s/d/p/e] 1.49/1.95/1.22/0.58  emits 1.00  spf 30.8  z0 0.52  garr 31.7  tG 272  e2 0.25  nF 11.2  pS 0.29  ptS 0.27  fLog 0.48  pdΔ -0.2069  pkR 9.27  clip 0.23  kl +0.007
upd   23  steps   49152  sps 714  opp symm  loss +0.055  pg +0.0655  v 0.007  ev +0.95  adv_std 0.119  tR +0.00  ent[s/d/p/e] 1.66/2.05/1.19/0.59  emits 1.06  spf 31.5  z0 0.53  garr 32.2  tG 311  e2 0.26  nF 11.3  pS 0.31  ptS 0.30  fLog 0.48  pdΔ -0.1865  pkR 8.44  clip 0.20  kl +0.005
upd   24  steps   51200  sps 737  opp symm  loss +0.019  pg +0.0285  v 0.009  ev +0.96  adv_std 0.136  tR -0.33  ent[s/d/p/e] 1.66/2.03/1.14/0.58  emits 1.16  spf 31.2  z0 0.49  garr 34.7  tG 365  e2 0.27  nF 11.4  pS 0.33  ptS 0.32  fLog 0.48  pdΔ -0.1710  pkR 10.16  clip 0.21  kl +0.005
upd   25  steps   53248  sps 759  opp symm  loss +0.045  pg +0.0552  v 0.007  ev +0.97  adv_std 0.119  tR +0.00  ent[s/d/p/e] 1.67/1.97/1.12/0.59  emits 1.22  spf 30.3  z0 0.48  garr 36.1  tG 401  e2 0.29  nF 13.5  pS 0.35  ptS 0.34  fLog 0.46  pdΔ -0.1504  pkR 10.75  clip 0.28  kl +0.012
