
=== [2026-06-10T23:07:10Z] v14d_binary_v2_a_p0i1_ORBITWARS_SHAPING_HOLD_BONUS_0.004_8eb6d1f0ee phase=a kind=probe chunk=400 env={"ORBITWARS_SHAPING_HOLD_BONUS": 0.004, "ORBITWARS_SHAPING_CAPTURE": 0.04, "ORBITWARS_SHAPING_RELEASE": 0.0075, "ORBITWARS_SHAPING_RELEASE_K": 17.0, "ORBITWARS_SHAPING_PROD_SHARE_DELTA": 0.025, "ORBITWARS_SHAPING_ONE_SHIP_PENALTY": 0.025} ppo={"ent_coef_emit": 0.004, "lr_peak": 4e-05} ===
[reward] kaggle-aligned: terminal +1 win/+1 tie>0/-1 loss/-1 double-wipeout; is_terminal at step >= episode_steps-2; SHAPING_SCALE=0.0; v1: KEEP_HOME=0.0 FLEET_SIZE=0.0/norm20.0; v2 (expert-replay calibrated): PROD_SHARE=0.0 PLANET_SHARE=0.0 FLEET_LOG=0.0/ref500.0/floor0.3; v3 (top10-2630ep calibrated): PROD_SHARE_DELTA=0.025 EMIT_LOG=0.0 EMIT_GATED=0.0 RELEASE=0.0075/K17.0 CAPTURE=0.04; episode_steps=500 (kaggle=500, mismatch=False)
[symmetric] Frog Parade style: same params drive BOTH players, no frozen/strong/buffer opponents, zero_sum_value=True
upd   13  steps   28672  sps 459  opp symm  loss +0.054  pg +0.0673  v 0.003  ev +0.96  adv_std 0.082  tR +1.00  ent[s/d/p/e] 1.87/2.17/1.13/0.61  emits 0.83  spf 54.4  z0 0.58  garr 66.1  tG 729  e2 0.20  nF 8.5  pS 0.40  ptS 0.39  fLog 0.54  pdΔ -0.1012  pkR 4.76  clip 0.21  kl +0.007
upd   14  steps   30720  sps 486  opp symm  loss +0.053  pg +0.0659  v 0.004  ev +0.96  adv_std 0.084  tR +0.33  ent[s/d/p/e] 1.84/2.13/1.05/0.58  emits 0.74  spf 54.7  z0 0.60  garr 70.1  tG 757  e2 0.18  nF 8.0  pS 0.38  ptS 0.38  fLog 0.53  pdΔ -0.1156  pkR 5.14  clip 0.26  kl +0.003
upd   15  steps   32768  sps 513  opp symm  loss -0.010  pg -0.0154  v 0.040  ev +0.75  adv_std 0.293  tR +0.32  ent[s/d/p/e] 1.72/2.14/1.13/0.51  emits 0.53  spf 55.5  z0 0.71  garr 55.7  tG 506  e2 0.11  nF 5.5  pS 0.27  ptS 0.27  fLog 0.54  pdΔ -0.2287  pkR 7.04  clip 0.08  kl +0.002
upd   16  steps   34816  sps 540  opp symm  loss +0.043  pg +0.0536  v 0.005  ev +0.89  adv_std 0.092  tR +0.00  ent[s/d/p/e] 1.21/2.06/1.26/0.40  emits 0.24  spf 49.6  z0 0.82  garr 44.7  tG 202  e2 0.04  nF 2.7  pS 0.15  ptS 0.14  fLog 0.55  pdΔ -0.3544  pkR 17.80  clip 0.12  kl +0.002
upd   17  steps   36864  sps 566  opp symm  loss +0.007  pg +0.0190  v 0.006  ev +0.91  adv_std 0.109  tR -1.00  ent[s/d/p/e] 1.51/2.28/1.34/0.46  emits 0.30  spf 60.2  z0 0.81  garr 52.9  tG 261  e2 0.06  nF 3.0  pS 0.19  ptS 0.19  fLog 0.59  pdΔ -0.3058  pkR 12.30  clip 0.10  kl +0.004
upd   18  steps   38912  sps 592  opp symm  loss +0.032  pg +0.0434  v 0.007  ev +0.91  adv_std 0.112  tR -1.00  ent[s/d/p/e] 1.57/2.26/1.30/0.55  emits 0.40  spf 50.8  z0 0.73  garr 58.0  tG 325  e2 0.08  nF 3.7  pS 0.25  ptS 0.24  fLog 0.58  pdΔ -0.2519  pkR 7.83  clip 0.15  kl +0.007
upd   19  steps   40960  sps 617  opp symm  loss +0.012  pg +0.0248  v 0.006  ev +0.94  adv_std 0.102  tR +1.00  ent[s/d/p/e] 1.69/2.30/1.23/0.56  emits 0.39  spf 57.0  z0 0.74  garr 67.8  tG 435  e2 0.08  nF 3.9  pS 0.29  ptS 0.27  fLog 0.59  pdΔ -0.2080  pkR 6.13  clip 0.11  kl +0.003
upd   20  steps   43008  sps 641  opp symm  loss +0.011  pg +0.0231  v 0.007  ev +0.94  adv_std 0.116  tR +0.00  ent[s/d/p/e] 1.76/2.30/1.26/0.57  emits 0.49  spf 58.1  z0 0.69  garr 69.6  tG 484  e2 0.11  nF 4.2  pS 0.31  ptS 0.30  fLog 0.59  pdΔ -0.1863  pkR 4.28  clip 0.16  kl +0.007
upd   21  steps   45056  sps 666  opp symm  loss +0.008  pg +0.0204  v 0.006  ev +0.96  adv_std 0.107  tR +0.00  ent[s/d/p/e] 1.85/2.38/1.22/0.58  emits 0.49  spf 61.4  z0 0.69  garr 73.1  tG 564  e2 0.11  nF 4.5  pS 0.34  ptS 0.32  fLog 0.60  pdΔ -0.1637  pkR 3.12  clip 0.14  kl +0.005
upd   22  steps   47104  sps 689  opp symm  loss +0.010  pg +0.0232  v 0.006  ev +0.96  adv_std 0.105  tR -1.00  ent[s/d/p/e] 1.95/2.38/1.19/0.61  emits 0.65  spf 60.5  z0 0.65  garr 73.9  tG 622  e2 0.16  nF 5.6  pS 0.37  ptS 0.35  fLog 0.59  pdΔ -0.1343  pkR 3.36  clip 0.17  kl +0.010
