
=== [2026-06-11T00:23:50Z] v14d_binary_v2_a_p0i7_lr_peak_5e-05_16eb713b77 phase=a kind=probe chunk=400 env={"ORBITWARS_SHAPING_HOLD_BONUS": 0.004, "ORBITWARS_SHAPING_CAPTURE": 0.04, "ORBITWARS_SHAPING_RELEASE": 0.012, "ORBITWARS_SHAPING_RELEASE_K": 17.0, "ORBITWARS_SHAPING_PROD_SHARE_DELTA": 0.025, "ORBITWARS_SHAPING_ONE_SHIP_PENALTY": 0.04} ppo={"ent_coef_emit": 0.006, "lr_peak": 5e-05} ===
[reward] kaggle-aligned: terminal +1 win/+1 tie>0/-1 loss/-1 double-wipeout; is_terminal at step >= episode_steps-2; SHAPING_SCALE=0.0; v1: KEEP_HOME=0.0 FLEET_SIZE=0.0/norm20.0; v2 (expert-replay calibrated): PROD_SHARE=0.0 PLANET_SHARE=0.0 FLEET_LOG=0.0/ref500.0/floor0.3; v3 (top10-2630ep calibrated): PROD_SHARE_DELTA=0.025 EMIT_LOG=0.0 EMIT_GATED=0.0 RELEASE=0.012/K17.0 CAPTURE=0.04; episode_steps=500 (kaggle=500, mismatch=False)
[symmetric] Frog Parade style: same params drive BOTH players, no frozen/strong/buffer opponents, zero_sum_value=True
upd   13  steps   28672  sps 458  opp symm  loss -0.039  pg -0.0269  v 0.004  ev +0.92  adv_std 0.095  tR -1.00  ent[s/d/p/e] 1.75/2.06/0.99/0.53  emits 1.14  spf 33.5  z0 0.53  garr 29.9  tG 372  e2 0.26  nF 13.3  pS 0.33  ptS 0.32  fLog 0.47  pdΔ -0.1699  pkR 15.75  clip 0.29  kl +0.008
upd   14  steps   30720  sps 485  opp symm  loss -0.021  pg -0.0091  v 0.005  ev +0.94  adv_std 0.105  tR +0.00  ent[s/d/p/e] 1.71/2.03/1.02/0.53  emits 1.18  spf 33.8  z0 0.51  garr 31.7  tG 388  e2 0.27  nF 14.3  pS 0.33  ptS 0.33  fLog 0.48  pdΔ -0.1653  pkR 18.40  clip 0.24  kl +0.010
upd   15  steps   32768  sps 512  opp symm  loss +0.017  pg +0.0174  v 0.027  ev +0.77  adv_std 0.245  tR +0.13  ent[s/d/p/e] 1.62/1.99/1.02/0.48  emits 1.10  spf 30.5  z0 0.55  garr 23.2  tG 226  e2 0.25  nF 11.3  pS 0.26  ptS 0.26  fLog 0.47  pdΔ -0.2380  pkR 13.56  clip 0.25  kl +0.001
upd   16  steps   34816  sps 539  opp symm  loss +0.050  pg +0.0586  v 0.007  ev +0.82  adv_std 0.117  tR +0.00  ent[s/d/p/e] 1.21/1.68/1.03/0.45  emits 0.96  spf 22.0  z0 0.55  garr 18.0  tG 104  e2 0.23  nF 9.1  pS 0.18  ptS 0.18  fLog 0.45  pdΔ -0.3155  pkR 11.51  clip 0.23  kl +0.005
upd   17  steps   36864  sps 565  opp symm  loss +0.047  pg +0.0568  v 0.008  ev +0.88  adv_std 0.131  tR -1.00  ent[s/d/p/e] 1.31/1.72/1.14/0.53  emits 1.09  spf 24.5  z0 0.49  garr 21.7  tG 153  e2 0.27  nF 11.6  pS 0.23  ptS 0.23  fLog 0.45  pdΔ -0.2672  pkR 10.56  clip 0.21  kl +0.006
upd   18  steps   38912  sps 591  opp symm  loss +0.029  pg +0.0391  v 0.009  ev +0.93  adv_std 0.134  tR -0.50  ent[s/d/p/e] 1.47/1.89/1.15/0.59  emits 1.03  spf 27.7  z0 0.50  garr 28.1  tG 216  e2 0.26  nF 11.9  pS 0.27  ptS 0.26  fLog 0.47  pdΔ -0.2305  pkR 8.85  clip 0.27  kl +0.006
upd   19  steps   40960  sps 616  opp symm  loss +0.020  pg +0.0301  v 0.010  ev +0.92  adv_std 0.147  tR -0.33  ent[s/d/p/e] 1.59/2.00/1.17/0.58  emits 0.99  spf 32.6  z0 0.51  garr 33.0  tG 289  e2 0.24  nF 11.0  pS 0.31  ptS 0.29  fLog 0.49  pdΔ -0.1907  pkR 9.07  clip 0.18  kl +0.007
upd   20  steps   43008  sps 640  opp symm  loss +0.017  pg +0.0281  v 0.009  ev +0.94  adv_std 0.133  tR -0.43  ent[s/d/p/e] 1.68/2.11/1.10/0.59  emits 0.97  spf 37.9  z0 0.55  garr 34.6  tG 336  e2 0.24  nF 10.5  pS 0.33  ptS 0.31  fLog 0.51  pdΔ -0.1718  pkR 8.45  clip 0.21  kl +0.005
upd   21  steps   45056  sps 664  opp symm  loss -0.002  pg +0.0091  v 0.009  ev +0.94  adv_std 0.138  tR +0.50  ent[s/d/p/e] 1.67/2.10/1.20/0.56  emits 0.98  spf 40.7  z0 0.53  garr 35.5  tG 365  e2 0.23  nF 10.4  pS 0.33  ptS 0.32  fLog 0.51  pdΔ -0.1665  pkR 7.65  clip 0.20  kl +0.005
upd   22  steps   47104  sps 688  opp symm  loss +0.043  pg +0.0533  v 0.009  ev +0.95  adv_std 0.141  tR +0.33  ent[s/d/p/e] 1.67/2.06/1.14/0.56  emits 1.03  spf 42.2  z0 0.53  garr 34.8  tG 374  e2 0.24  nF 10.8  pS 0.34  ptS 0.33  fLog 0.51  pdΔ -0.1574  pkR 8.97  clip 0.15  kl +0.009
upd   23  steps   49152  sps 711  opp symm  loss +0.010  pg +0.0196  v 0.011  ev +0.95  adv_std 0.153  tR +1.00  ent[s/d/p/e] 1.55/1.96/1.15/0.55  emits 0.95  spf 36.3  z0 0.53  garr 31.9  tG 333  e2 0.23  nF 10.5  pS 0.32  ptS 0.30  fLog 0.49  pdΔ -0.1829  pkR 7.60  clip 0.20  kl +0.002
upd   24  steps   51200  sps 734  opp symm  loss +0.002  pg +0.0123  v 0.009  ev +0.96  adv_std 0.134  tR +0.00  ent[s/d/p/e] 1.53/1.94/1.19/0.54  emits 1.06  spf 32.4  z0 0.51  garr 28.8  tG 303  e2 0.25  nF 11.7  pS 0.30  ptS 0.29  fLog 0.48  pdΔ -0.1964  pkR 10.77  clip 0.19  kl +0.006
upd   25  steps   53248  sps 756  opp symm  loss +0.017  pg +0.0259  v 0.011  ev +0.95  adv_std 0.152  tR +1.00  ent[s/d/p/e] 1.54/1.96/1.14/0.53  emits 1.02  spf 34.9  z0 0.49  garr 31.8  tG 344  e2 0.24  nF 12.8  pS 0.32  ptS 0.31  fLog 0.49  pdΔ -0.1803  pkR 14.68  clip 0.22  kl -0.000
