[reward] kaggle-aligned: terminal +1 win/+1 tie>0/-1 loss/-1 double-wipeout; is_terminal at step >= episode_steps-2; SHAPING_SCALE=0.0; v1: KEEP_HOME=0.0 FLEET_SIZE=0.0/norm20.0; v2 (expert-replay calibrated): PROD_SHARE=0.0 PLANET_SHARE=0.0 FLEET_LOG=0.0/ref500.0/floor0.3; v3 (top10-2630ep calibrated): PROD_SHARE_DELTA=0.006 EMIT_LOG=0.0 EMIT_GATED=0.0 RELEASE=0.0/K20.0 CAPTURE=0.0; ANTI_HOARD=0.02/thresh0.55; episode_steps=500 (kaggle=500, mismatch=False); wins_needed=1 (multi-match=off)
[curriculum] strong_ratio=0.25 frozen_ratio=0.25 strong_ckpt=./ckpt_multi_action_v29_aim/ckpt_003999.pkl
[gated-pool] seed_paths=./ckpt_multi_action_v29_aim/ckpt_003999.pkl snapshot_current=True
[resume] loaded params from ./ckpt_multi_action_v30b_warm/ckpt_warm.pkl (step=400)
[shape-adapter] kept target init for 4 new tensor(s) (e.g. dst_economics_head/...)
[curriculum] shape-adapted strong opponent from ./ckpt_multi_action_v29_aim/ckpt_003999.pkl
[shape-adapter] kept target init for 4 new tensor(s) (e.g. dst_economics_head/...)
[gated-pool] shape-adapted seed opponent ./ckpt_multi_action_v29_aim/ckpt_003999.pkl
upd   11  steps   24576  sps 340  opp frzn  loss +106244816.000  pg +0.0034  v 0.019  ev +0.99  adv_std 0.198  tR +0.00  ent[s/d/p/e] 1.87/0.98/1.10/0.29  emits 2.04  spf 22.5  z0 0.27  garr 52.7  tG 491  e2 0.68  nF 27.8  pS 0.44  ptS 0.43  fLog 0.47  pdΔ -0.0553  pkR 4.03  clip 0.24  kl +0.006  klR 0.000  klC 0.000 align[spf 20.3 e2 0.63 z0 0.32 n=8]
upd   12  steps   26624  sps 366  opp strn  loss +102939928.000  pg -0.0359  v 0.011  ev +1.00  adv_std 0.154  tR +0.00  ent[s/d/p/e] 1.88/0.99/1.09/0.29  emits 2.13  spf 22.0  z0 0.26  garr 52.6  tG 494  e2 0.69  nF 29.0  pS 0.45  ptS 0.44  fLog 0.47  pdΔ -0.0497  pkR 4.31  clip 0.16  kl +0.001  klR 0.000  klC 0.000 align[spf 20.5 e2 0.63 z0 0.32 n=9]
upd   13  steps   28672  sps 392  opp strn  loss +109828016.000  pg -0.0197  v 0.013  ev +0.99  adv_std 0.163  tR -1.00  ent[s/d/p/e] 1.94/1.00/1.10/0.30  emits 2.12  spf 21.1  z0 0.25  garr 52.3  tG 515  e2 0.71  nF 29.7  pS 0.46  ptS 0.45  fLog 0.47  pdΔ -0.0404  pkR 5.67  clip 0.19  kl +0.007  klR 0.000  klC 0.000 align[spf 20.6 e2 0.64 z0 0.31 n=10]
upd   14  steps   30720  sps 418  opp rand  loss +133191760.000  pg -0.0074  v 0.013  ev +0.99  adv_std 0.167  tR +1.00  ent[s/d/p/e] 1.98/0.97/1.11/0.30  emits 2.12  spf 22.1  z0 0.24  garr 51.7  tG 521  e2 0.71  nF 30.0  pS 0.48  ptS 0.46  fLog 0.47  pdΔ -0.0234  pkR 6.33  clip 0.23  kl +0.002  klR 0.000  klC 0.000 align[spf 20.6 e2 0.64 z0 0.31 n=10]
upd   15  steps   32768  sps 444  opp rand  loss +142971360.000  pg +0.0601  v 0.071  ev +0.98  adv_std 0.362  tR +0.36  ent[s/d/p/e] 1.98/0.96/1.05/0.27  emits 1.63  spf 22.2  z0 0.41  garr 37.3  tG 356  e2 0.52  nF 20.0  pS 0.36  ptS 0.35  fLog 0.47  pdΔ -0.1399  pkR 4.24  clip 0.20  kl +0.005  klR 0.000  klC 0.000 align[spf 20.6 e2 0.64 z0 0.31 n=10]
upd   16  steps   34816  sps 469  opp rand  loss +136446112.000  pg +0.0241  v 0.038  ev +0.98  adv_std 0.282  tR +0.00  ent[s/d/p/e] 1.57/0.94/0.87/0.27  emits 1.34  spf 18.9  z0 0.51  garr 24.2  tG 155  e2 0.39  nF 12.8  pS 0.24  ptS 0.22  fLog 0.45  pdΔ -0.2616  pkR 6.83  clip 0.13  kl +0.003  klR 0.000  klC 0.000 align[spf 20.6 e2 0.64 z0 0.31 n=10]
upd   17  steps   36864  sps 494  opp frzn  loss +90219448.000  pg -0.0158  v 0.021  ev +0.99  adv_std 0.204  tR +0.00  ent[s/d/p/e] 1.56/0.94/0.83/0.25  emits 1.84  spf 18.3  z0 0.32  garr 29.5  tG 220  e2 0.63  nF 21.5  pS 0.32  ptS 0.30  fLog 0.44  pdΔ -0.1831  pkR 8.25  clip 0.14  kl +0.003  klR 0.000  klC 0.000 align[spf 20.4 e2 0.64 z0 0.31 n=11]
upd   18  steps   38912  sps 519  opp rand  loss +129692752.000  pg +0.0235  v 0.034  ev +0.98  adv_std 0.266  tR +1.00  ent[s/d/p/e] 1.73/0.96/0.83/0.25  emits 2.22  spf 19.0  z0 0.27  garr 34.9  tG 295  e2 0.69  nF 25.3  pS 0.38  ptS 0.37  fLog 0.45  pdΔ -0.1185  pkR 6.37  clip 0.12  kl +0.002  klR 0.000  klC 0.000 align[spf 20.4 e2 0.64 z0 0.31 n=11]
upd   19  steps   40960  sps 544  opp rand  loss +163795120.000  pg +0.0297  v 0.033  ev +0.98  adv_std 0.267  tR +1.00  ent[s/d/p/e] 1.91/1.08/0.90/0.24  emits 2.84  spf 19.6  z0 0.21  garr 39.6  tG 395  e2 0.76  nF 32.1  pS 0.46  ptS 0.45  fLog 0.45  pdΔ -0.0389  pkR 4.53  clip 0.19  kl +0.005  klR 0.000  klC 0.000 align[spf 20.4 e2 0.64 z0 0.31 n=11]
upd   20  steps   43008  sps 568  opp frzn  loss +162015920.000  pg -0.0117  v 0.029  ev +0.98  adv_std 0.240  tR +1.00  ent[s/d/p/e] 1.95/1.10/0.92/0.24  emits 3.06  spf 20.7  z0 0.21  garr 46.2  tG 531  e2 0.76  nF 36.9  pS 0.50  ptS 0.49  fLog 0.46  pdΔ +0.0008  pkR 5.13  clip 0.21  kl +0.009  klR 0.000  klC 0.000 align[spf 20.4 e2 0.65 z0 0.30 n=12]
upd   21  steps   45056  sps 592  opp strn  loss +149415072.000  pg -0.0439  v 0.023  ev +0.99  adv_std 0.218  tR +1.00  ent[s/d/p/e] 1.94/1.00/0.97/0.25  emits 2.57  spf 22.8  z0 0.27  garr 49.8  tG 565  e2 0.69  nF 31.8  pS 0.46  ptS 0.45  fLog 0.47  pdΔ -0.0372  pkR 6.29  clip 0.19  kl +0.003  klR 0.000  klC 0.000 align[spf 20.6 e2 0.65 z0 0.30 n=13]
