[reward] kaggle-aligned: terminal +1 win/+1 tie>0/-1 loss/-1 double-wipeout; is_terminal at step >= episode_steps-2; SHAPING_SCALE=0.0; v1: KEEP_HOME=0.0 FLEET_SIZE=0.0/norm20.0; v2 (expert-replay calibrated): PROD_SHARE=0.0 PLANET_SHARE=0.0 FLEET_LOG=0.0/ref500.0/floor0.3; v3 (top10-2630ep calibrated): PROD_SHARE_DELTA=0.0 EMIT_LOG=0.0 EMIT_GATED=0.0 RELEASE=0.0/K20.0 CAPTURE=0.02; ANTI_HOARD=0.03/thresh0.6; episode_steps=500 (kaggle=500, mismatch=False); wins_needed=2 (multi-match=BO3)
[curriculum] strong_ratio=0.2 frozen_ratio=0.3 strong_ckpt=./ckpt_multi_action_v16a_capture/ckpt_003199.pkl
[resume] loaded params from ./ckpt_multi_action_v17_frog_hist50/ckpt_002199.pkl (step=2199)
[shape-adapter] padded tensors:
  encoder/global_proj/kernel: (27, 256) -> (427, 256)
  encoder/planet_proj/kernel: (39, 256) -> (41, 256)
[curriculum] shape-adapted strong opponent from ./ckpt_multi_action_v16a_capture/ckpt_003199.pkl
upd   12  steps   26624  sps 411  opp strn  loss +0.036  pg +0.0304  v 0.012  ev +0.98  adv_std 0.157  tR +0.33  ent[s/d/p/e] 1.46/0.55/0.21/0.31  emits 1.14  spf 55.6  z0 0.36  garr 112.0  tG 1228  e2 0.15  nF 13.1  pS 0.48  ptS 0.45  fLog 0.55  pdΔ -0.0246  pkR 4.71  clip 0.08  kl +0.004 align[spf 48.8 e2 0.10 z0 0.44 n=3]
upd   13  steps   28672  sps 440  opp rand  loss +0.026  pg +0.0230  v 0.007  ev +0.99  adv_std 0.118  tR +1.00  ent[s/d/p/e] 1.34/0.54/0.18/0.31  emits 1.28  spf 49.6  z0 0.31  garr 112.8  tG 1286  e2 0.18  nF 13.4  pS 0.49  ptS 0.47  fLog 0.54  pdΔ -0.0102  pkR 4.41  clip 0.02  kl +0.003 align[spf 48.8 e2 0.10 z0 0.44 n=3]
upd   14  steps   30720  sps 469  opp rand  loss +0.020  pg +0.0159  v 0.010  ev +0.99  adv_std 0.133  tR +0.50  ent[s/d/p/e] 1.31/0.57/0.17/0.31  emits 1.33  spf 41.4  z0 0.33  garr 110.8  tG 1252  e2 0.21  nF 15.2  pS 0.46  ptS 0.44  fLog 0.51  pdΔ -0.0384  pkR 5.24  clip 0.12  kl +0.005 align[spf 48.8 e2 0.10 z0 0.44 n=3]
upd   15  steps   32768  sps 498  opp rand  loss -0.062  pg -0.0727  v 0.022  ev +0.96  adv_std 0.197  tR +0.54  ent[s/d/p/e] 1.25/0.59/0.16/0.29  emits 1.06  spf 42.5  z0 0.46  garr 92.9  tG 911  e2 0.15  nF 12.2  pS 0.36  ptS 0.34  fLog 0.51  pdΔ -0.1373  pkR 7.90  clip 0.03  kl +0.001 align[spf 48.8 e2 0.10 z0 0.44 n=3]
upd   16  steps   34816  sps 526  opp rand  loss -0.014  pg -0.0183  v 0.009  ev +0.97  adv_std 0.121  tR +0.00  ent[s/d/p/e] 1.21/0.55/0.16/0.28  emits 0.68  spf 43.2  z0 0.56  garr 84.5  tG 643  e2 0.07  nF 7.5  pS 0.29  ptS 0.26  fLog 0.52  pdΔ -0.2133  pkR 9.15  clip 0.06  kl +0.003 align[spf 48.8 e2 0.10 z0 0.44 n=3]
upd   17  steps   36864  sps 554  opp rand  loss -0.027  pg -0.0301  v 0.006  ev +0.98  adv_std 0.109  tR +1.00  ent[s/d/p/e] 1.31/0.56/0.16/0.27  emits 0.89  spf 51.4  z0 0.50  garr 99.4  tG 797  e2 0.09  nF 9.5  pS 0.35  ptS 0.32  fLog 0.55  pdΔ -0.1487  pkR 7.69  clip 0.03  kl +0.002 align[spf 48.8 e2 0.10 z0 0.44 n=3]
upd   18  steps   38912  sps 582  opp rand  loss -0.080  pg -0.0831  v 0.007  ev +0.98  adv_std 0.118  tR +1.00  ent[s/d/p/e] 1.29/0.53/0.17/0.28  emits 1.01  spf 56.3  z0 0.49  garr 110.0  tG 915  e2 0.12  nF 9.9  pS 0.37  ptS 0.34  fLog 0.56  pdΔ -0.1344  pkR 6.93  clip 0.06  kl +0.003 align[spf 48.8 e2 0.10 z0 0.44 n=3]
upd   19  steps   40960  sps 610  opp rand  loss -0.010  pg -0.0129  v 0.007  ev +0.98  adv_std 0.117  tR +1.00  ent[s/d/p/e] 1.18/0.49/0.17/0.27  emits 1.10  spf 53.0  z0 0.43  garr 109.5  tG 924  e2 0.12  nF 10.6  pS 0.36  ptS 0.34  fLog 0.56  pdΔ -0.1367  pkR 6.50  clip 0.06  kl +0.003 align[spf 48.8 e2 0.10 z0 0.44 n=3]
upd   20  steps   43008  sps 637  opp rand  loss -0.009  pg -0.0127  v 0.009  ev +0.98  adv_std 0.125  tR +1.00  ent[s/d/p/e] 1.19/0.53/0.16/0.27  emits 1.23  spf 51.0  z0 0.41  garr 113.3  tG 964  e2 0.15  nF 12.9  pS 0.37  ptS 0.35  fLog 0.53  pdΔ -0.1277  pkR 6.14  clip 0.08  kl +0.003 align[spf 48.8 e2 0.10 z0 0.44 n=3]
upd   21  steps   45056  sps 663  opp strn  loss -0.114  pg -0.1161  v 0.006  ev +0.99  adv_std 0.114  tR +1.00  ent[s/d/p/e] 1.18/0.50/0.18/0.27  emits 1.25  spf 45.8  z0 0.46  garr 111.9  tG 888  e2 0.17  nF 15.4  pS 0.36  ptS 0.34  fLog 0.51  pdΔ -0.1406  pkR 6.73  clip 0.03  kl +0.002 align[spf 48.1 e2 0.12 z0 0.44 n=4]
