upd   11  steps   24576  sps 353  opp strn  loss -0.037  pg -0.0361  v 0.004  ev +0.81  adv_std 0.092  tR -0.43  ent[s/d/p/e] 1.57/2.90/0.83/0.62  emits 0.59  spf 41.1  z0 0.65  garr 42.1  tG 328  e2 0.13  nF 6.8  pS 0.25  ptS 0.24  fLog 0.50  pdΔ -0.2539  pkR 11.79  clip 0.13  kl +0.007 align[spf 27.1 e2 0.08 z0 0.62 n=5]
upd   12  steps   26624  sps 380  opp frzn  loss -0.081  pg -0.0784  v 0.002  ev +0.90  adv_std 0.059  tR -1.00  ent[s/d/p/e] 1.53/2.89/0.72/0.63  emits 0.66  spf 33.3  z0 0.62  garr 37.3  tG 301  e2 0.14  nF 8.5  pS 0.23  ptS 0.23  fLog 0.46  pdΔ -0.2657  pkR 14.12  clip 0.09  kl +0.004 align[spf 28.1 e2 0.09 z0 0.62 n=6]
upd   13  steps   28672  sps 407  opp rand  loss -0.107  pg -0.1047  v 0.001  ev +0.90  adv_std 0.049  tR -1.00  ent[s/d/p/e] 1.51/2.89/0.63/0.64  emits 0.74  spf 34.0  z0 0.57  garr 38.4  tG 335  e2 0.15  nF 10.5  pS 0.24  ptS 0.24  fLog 0.45  pdΔ -0.2575  pkR 15.71  clip 0.21  kl +0.007 align[spf 28.1 e2 0.09 z0 0.62 n=6]
upd   14  steps   30720  sps 434  opp rand  loss -0.101  pg -0.0998  v 0.003  ev +0.82  adv_std 0.069  tR -0.33  ent[s/d/p/e] 1.55/2.89/0.60/0.63  emits 0.82  spf 32.1  z0 0.55  garr 38.6  tG 337  e2 0.19  nF 12.1  pS 0.24  ptS 0.24  fLog 0.43  pdΔ -0.2562  pkR 17.45  clip 0.24  kl +0.007 align[spf 28.1 e2 0.09 z0 0.62 n=6]
upd   15  steps   32768  sps 460  opp frzn  loss -0.104  pg -0.1111  v 0.021  ev +0.49  adv_std 0.216  tR -0.49  ent[s/d/p/e] 1.46/2.89/0.68/0.57  emits 0.55  spf 29.5  z0 0.69  garr 31.5  tG 209  e2 0.11  nF 9.3  pS 0.17  ptS 0.17  fLog 0.43  pdΔ -0.3268  pkR 26.69  clip 0.15  kl +0.005 align[spf 28.3 e2 0.10 z0 0.63 n=7]
upd   16  steps   34816  sps 487  opp rand  loss -0.091  pg -0.0895  v 0.002  ev +0.93  adv_std 0.051  tR -1.00  ent[s/d/p/e] 0.87/2.89/0.53/0.59  emits 0.46  spf 23.6  z0 0.68  garr 26.5  tG 96  e2 0.09  nF 5.7  pS 0.12  ptS 0.12  fLog 0.42  pdΔ -0.3803  pkR 15.69  clip 0.09  kl +0.004 align[spf 28.3 e2 0.10 z0 0.63 n=7]
upd   17  steps   36864  sps 512  opp frzn  loss -0.090  pg -0.0881  v 0.002  ev +0.95  adv_std 0.052  tR -1.00  ent[s/d/p/e] 0.97/2.89/0.52/0.61  emits 0.53  spf 22.9  z0 0.64  garr 29.7  tG 126  e2 0.11  nF 8.3  pS 0.15  ptS 0.14  fLog 0.40  pdΔ -0.3536  pkR 13.29  clip 0.10  kl +0.006 align[spf 27.7 e2 0.10 z0 0.63 n=8]
upd   18  steps   38912  sps 538  opp frzn  loss -0.090  pg -0.0889  v 0.003  ev +0.91  adv_std 0.073  tR -0.50  ent[s/d/p/e] 1.12/2.90/0.55/0.59  emits 0.49  spf 23.5  z0 0.68  garr 36.8  tG 174  e2 0.10  nF 8.6  pS 0.16  ptS 0.16  fLog 0.41  pdΔ -0.3357  pkR 7.22  clip 0.26  kl +0.015 align[spf 27.2 e2 0.10 z0 0.64 n=9]
upd   19  steps   40960  sps 563  opp frzn  loss -0.051  pg -0.0492  v 0.001  ev +0.97  adv_std 0.039  tR -1.00  ent[s/d/p/e] 1.23/2.90/0.63/0.49  emits 0.32  spf 27.6  z0 0.79  garr 53.0  tG 252  e2 0.06  nF 6.8  pS 0.17  ptS 0.16  fLog 0.43  pdΔ -0.3309  pkR 8.30  clip 0.17  kl +0.009 align[spf 27.2 e2 0.09 z0 0.65 n=10]
upd   20  steps   43008  sps 588  opp rand  loss -0.151  pg -0.1484  v 0.002  ev +0.95  adv_std 0.053  tR -0.60  ent[s/d/p/e] 1.17/2.90/0.57/0.56  emits 0.48  spf 33.4  z0 0.69  garr 68.7  tG 332  e2 0.11  nF 6.6  pS 0.18  ptS 0.17  fLog 0.42  pdΔ -0.3229  pkR 8.92  clip 0.15  kl +0.010 align[spf 27.2 e2 0.09 z0 0.65 n=10]
upd   21  steps   45056  sps 613  opp rand  loss -0.062  pg -0.0616  v 0.004  ev +0.88  adv_std 0.076  tR -0.20  ent[s/d/p/e] 1.13/2.90/0.44/0.59  emits 0.68  spf 24.3  z0 0.60  garr 53.1  tG 268  e2 0.15  nF 9.9  pS 0.18  ptS 0.18  fLog 0.40  pdΔ -0.3176  pkR 14.36  clip 0.20  kl +0.008 align[spf 27.2 e2 0.09 z0 0.65 n=10]
