upd   11  steps   24576  sps 299  opp rand  loss +0.008  pg -0.0007  v 0.018  ev +0.99  adv_std 0.190  tR -1.00  ent[s/d/p/e] 0.64/0.49/0.06/0.26  emits 3.46  spf 20.1  z0 0.22  garr 152.8  tG 1215  e2 0.55  nF 43.9  pS 0.38  ptS 0.36  fLog 0.40  pdΔ -0.1233  pkR 4.08  clip 0.13  kl +0.007 align[spf 19.8 e2 0.42 z0 0.34 n=6]
upd   12  steps   26624  sps 323  opp frzn  loss +0.006  pg -0.0018  v 0.017  ev +0.99  adv_std 0.182  tR +1.00  ent[s/d/p/e] 0.67/0.52/0.08/0.27  emits 3.28  spf 21.9  z0 0.25  garr 162.9  tG 1297  e2 0.54  nF 42.5  pS 0.37  ptS 0.36  fLog 0.41  pdΔ -0.1262  pkR 4.21  clip 0.17  kl +0.009 align[spf 20.1 e2 0.44 z0 0.32 n=7]
upd   13  steps   28672  sps 346  opp strn  loss +0.005  pg -0.0025  v 0.016  ev +0.99  adv_std 0.183  tR -0.33  ent[s/d/p/e] 0.86/0.50/0.10/0.29  emits 2.84  spf 21.3  z0 0.30  garr 173.6  tG 1331  e2 0.48  nF 38.9  pS 0.36  ptS 0.35  fLog 0.40  pdΔ -0.1362  pkR 4.37  clip 0.08  kl +0.000 align[spf 20.3 e2 0.44 z0 0.32 n=8]
upd   14  steps   30720  sps 369  opp frzn  loss +0.008  pg +0.0028  v 0.012  ev +0.99  adv_std 0.151  tR +0.00  ent[s/d/p/e] 0.92/0.49/0.10/0.29  emits 2.78  spf 23.3  z0 0.32  garr 187.5  tG 1437  e2 0.45  nF 36.2  pS 0.37  ptS 0.36  fLog 0.41  pdΔ -0.1299  pkR 3.48  clip 0.10  kl +0.003 align[spf 20.6 e2 0.44 z0 0.32 n=9]
upd   15  steps   32768  sps 391  opp frzn  loss +0.147  pg +0.1149  v 0.065  ev +0.96  adv_std 0.365  tR -0.38  ent[s/d/p/e] 0.80/0.49/0.08/0.26  emits 1.68  spf 20.2  z0 0.56  garr 129.8  tG 934  e2 0.29  nF 24.1  pS 0.26  ptS 0.25  fLog 0.40  pdΔ -0.2422  pkR 5.66  clip 0.05  kl +0.003 align[spf 20.6 e2 0.43 z0 0.35 n=10]
upd   16  steps   34816  sps 414  opp buf  loss +0.044  pg +0.0269  v 0.035  ev +0.97  adv_std 0.261  tR +0.00  ent[s/d/p/e] 0.55/0.52/0.07/0.23  emits 1.10  spf 17.1  z0 0.67  garr 51.5  tG 195  e2 0.18  nF 12.1  pS 0.15  ptS 0.14  fLog 0.40  pdΔ -0.3540  pkR 19.10  clip 0.05  kl +0.003 align[spf 20.6 e2 0.43 z0 0.35 n=10]
upd   17  steps   36864  sps 436  opp strn  loss +0.019  pg -0.0015  v 0.042  ev +0.97  adv_std 0.288  tR +1.00  ent[s/d/p/e] 0.41/0.52/0.04/0.29  emits 1.88  spf 19.9  z0 0.49  garr 57.5  tG 262  e2 0.30  nF 17.0  pS 0.20  ptS 0.19  fLog 0.42  pdΔ -0.3042  pkR 7.43  clip 0.05  kl +0.003 align[spf 20.5 e2 0.42 z0 0.36 n=11]
upd   18  steps   38912  sps 458  opp buf  loss +0.057  pg +0.0423  v 0.031  ev +0.98  adv_std 0.257  tR +0.00  ent[s/d/p/e] 0.44/0.50/0.03/0.34  emits 1.73  spf 18.3  z0 0.48  garr 70.7  tG 378  e2 0.29  nF 20.2  pS 0.24  ptS 0.23  fLog 0.41  pdΔ -0.2590  pkR 5.81  clip 0.07  kl +0.005 align[spf 20.5 e2 0.42 z0 0.36 n=11]
upd   19  steps   40960  sps 480  opp rand  loss +0.019  pg +0.0070  v 0.025  ev +0.98  adv_std 0.226  tR -0.50  ent[s/d/p/e] 0.44/0.54/0.04/0.29  emits 2.65  spf 17.3  z0 0.33  garr 90.1  tG 553  e2 0.41  nF 25.7  pS 0.29  ptS 0.27  fLog 0.39  pdΔ -0.2144  pkR 4.99  clip 0.14  kl +0.002 align[spf 20.5 e2 0.42 z0 0.36 n=11]
upd   20  steps   43008  sps 502  opp strn  loss +0.005  pg -0.0098  v 0.030  ev +0.98  adv_std 0.244  tR -1.00  ent[s/d/p/e] 0.53/0.53/0.05/0.25  emits 3.30  spf 19.3  z0 0.26  garr 99.3  tG 695  e2 0.51  nF 36.3  pS 0.33  ptS 0.31  fLog 0.40  pdΔ -0.1733  pkR 5.06  clip 0.19  kl +0.008 align[spf 20.4 e2 0.42 z0 0.35 n=12]
