═══════════════════════════════════════════════════
 v25 — extend v24 u3999 (anti-collapse, ~8h)
═══════════════════════════════════════════════════
 init     : ckpt_multi_action_v24_bc_ft/ckpt_003999.pkl
 anchor   : same ckpt, KL 0.04 -> 0.02 over 8000u
 opp      : strong(BC) 45% + frozen 30% + rand 25%
 reward   : v24 + multi_emit home_garr>=30 min_ships=10
 lr       : 2e-5 (gentler than v24)
 updates  : 11000 (~8h @ v24 speed)
 logdir   : logs/v25_extend_20260613_094550
═══════════════════════════════════════════════════
[reward] kaggle-aligned: terminal +1 win/+1 tie>0/-1 loss/-1 double-wipeout; is_terminal at step >= episode_steps-2; SHAPING_SCALE=0.0; v1: KEEP_HOME=0.0 FLEET_SIZE=0.0/norm20.0; v2 (expert-replay calibrated): PROD_SHARE=0.0 PLANET_SHARE=0.0 FLEET_LOG=0.0/ref500.0/floor0.3; v3 (top10-2630ep calibrated): PROD_SHARE_DELTA=0.0 EMIT_LOG=0.0 EMIT_GATED=0.0 RELEASE=0.0/K20.0 CAPTURE=0.02; ANTI_HOARD=0.04/thresh0.55; episode_steps=500 (kaggle=500, mismatch=False); wins_needed=1 (multi-match=off)
[curriculum] strong_ratio=0.45 frozen_ratio=0.3 strong_ckpt=./ckpt_bc_v20_epw25/ckpt_final.pkl
[gated-pool] seed_paths=./ckpt_bc_v20_epw25/ckpt_final.pkl, ./ckpt_multi_action_v24_bc_ft/ckpt_003999.pkl snapshot_current=True
[resume] loaded params from ./ckpt_multi_action_v24_bc_ft/ckpt_003999.pkl (step=3999)
[bc_anchor] loaded reference policy from ./ckpt_multi_action_v24_bc_ft/ckpt_003999.pkl (kl_ref_coef=0.04)
[curriculum] loaded strong opponent from ./ckpt_bc_v20_epw25/ckpt_final.pkl
[gated-pool] loaded seed opponent ./ckpt_bc_v20_epw25/ckpt_final.pkl
[gated-pool] loaded seed opponent ./ckpt_multi_action_v24_bc_ft/ckpt_003999.pkl
upd   11  steps   24576  sps 336  opp rand  loss +0.019  pg +0.0139  v 0.011  ev +0.99  adv_std 0.144  tR +0.33  ent[s/d/p/e] 2.30/2.37/0.93/0.39  emits 2.62  spf 35.2  z0 0.20  garr 42.7  tG 565  e2 0.73  nF 31.3  pS 0.61  ptS 0.61  fLog 0.52  pdΔ +0.1088  pkR 6.15  clip 0.12  kl +0.002  klR 0.014  klC 0.040 align[spf 27.5 e2 0.53 z0 0.39 n=10]
upd   12  steps   26624  sps 361  opp frzn  loss -0.030  pg -0.0359  v 0.013  ev +0.99  adv_std 0.166  tR +0.00  ent[s/d/p/e] 2.37/2.32/0.92/0.41  emits 2.61  spf 35.7  z0 0.22  garr 43.0  tG 583  e2 0.71  nF 31.1  pS 0.63  ptS 0.63  fLog 0.52  pdΔ +0.1309  pkR 5.74  clip 0.17  kl +0.002  klR 0.017  klC 0.040 align[spf 28.3 e2 0.55 z0 0.37 n=11]
upd   13  steps   28672  sps 387  opp strn  loss +0.016  pg +0.0077  v 0.018  ev +0.99  adv_std 0.189  tR +0.71  ent[s/d/p/e] 2.38/2.31/0.93/0.41  emits 2.41  spf 35.3  z0 0.26  garr 47.4  tG 647  e2 0.69  nF 29.7  pS 0.62  ptS 0.62  fLog 0.52  pdΔ +0.1166  pkR 6.62  clip 0.10  kl +0.003  klR 0.018  klC 0.040 align[spf 28.9 e2 0.56 z0 0.36 n=12]
upd   14  steps   30720  sps 412  opp rand  loss +0.006  pg +0.0024  v 0.008  ev +0.99  adv_std 0.129  tR +1.00  ent[s/d/p/e] 2.35/2.37/1.01/0.42  emits 2.22  spf 37.1  z0 0.29  garr 45.8  tG 567  e2 0.63  nF 25.3  pS 0.58  ptS 0.58  fLog 0.53  pdΔ +0.0775  pkR 6.36  clip 0.14  kl +0.003  klR 0.017  klC 0.040 align[spf 28.9 e2 0.56 z0 0.36 n=12]
upd   15  steps   32768  sps 437  opp rand  loss +0.118  pg +0.0937  v 0.049  ev +0.98  adv_std 0.311  tR +0.86  ent[s/d/p/e] 2.17/2.32/0.92/0.40  emits 1.65  spf 34.6  z0 0.42  garr 34.6  tG 373  e2 0.47  nF 18.2  pS 0.42  ptS 0.42  fLog 0.52  pdΔ -0.0794  pkR 8.97  clip 0.10  kl -0.000  klR 0.015  klC 0.040 align[spf 28.9 e2 0.56 z0 0.36 n=12]
upd   16  steps   34816  sps 461  opp strn  loss +0.027  pg +0.0118  v 0.031  ev +0.98  adv_std 0.244  tR +0.00  ent[s/d/p/e] 1.50/2.21/0.75/0.43  emits 1.10  spf 22.5  z0 0.52  garr 21.4  tG 114  e2 0.35  nF 10.6  pS 0.24  ptS 0.23  fLog 0.48  pdΔ -0.2618  pkR 6.81  clip 0.05  kl +0.000  klR 0.027  klC 0.040 align[spf 28.4 e2 0.54 z0 0.37 n=13]
upd   17  steps   36864  sps 486  opp rand  loss +0.043  pg +0.0300  v 0.025  ev +0.98  adv_std 0.222  tR -1.00  ent[s/d/p/e] 1.57/2.29/0.67/0.43  emits 1.66  spf 20.5  z0 0.33  garr 22.5  tG 159  e2 0.54  nF 19.2  pS 0.33  ptS 0.32  fLog 0.46  pdΔ -0.1690  pkR 7.06  clip 0.07  kl +0.002  klR 0.028  klC 0.040 align[spf 28.4 e2 0.54 z0 0.37 n=13]
upd   18  steps   38912  sps 509  opp frzn  loss +0.003  pg -0.0098  v 0.026  ev +0.98  adv_std 0.224  tR +1.00  ent[s/d/p/e] 1.73/2.32/0.69/0.43  emits 1.89  spf 22.4  z0 0.30  garr 26.1  tG 220  e2 0.61  nF 25.4  pS 0.40  ptS 0.39  fLog 0.47  pdΔ -0.0967  pkR 7.23  clip 0.12  kl -0.002  klR 0.026  klC 0.040 align[spf 27.9 e2 0.55 z0 0.37 n=14]
upd   19  steps   40960  sps 533  opp rand  loss +0.019  pg +0.0123  v 0.013  ev +0.99  adv_std 0.159  tR +1.00  ent[s/d/p/e] 1.84/2.35/0.78/0.43  emits 1.94  spf 24.6  z0 0.31  garr 28.8  tG 241  e2 0.61  nF 25.5  pS 0.44  ptS 0.42  fLog 0.49  pdΔ -0.0647  pkR 4.25  clip 0.14  kl +0.004  klR 0.025  klC 0.040 align[spf 27.9 e2 0.55 z0 0.37 n=14]
upd   20  steps   43008  sps 557  opp rand  loss +0.042  pg +0.0339  v 0.016  ev +0.99  adv_std 0.172  tR +1.00  ent[s/d/p/e] 1.98/2.36/0.84/0.43  emits 1.94  spf 26.7  z0 0.33  garr 33.0  tG 299  e2 0.60  nF 24.6  pS 0.47  ptS 0.45  fLog 0.50  pdΔ -0.0316  pkR 3.73  clip 0.14  kl +0.003  klR 0.027  klC 0.040 align[spf 27.9 e2 0.55 z0 0.37 n=14]
