[reward] kaggle-aligned: terminal +1 win/+1 tie>0/-1 loss/-1 double-wipeout; is_terminal at step >= episode_steps-2; SHAPING_SCALE=0.0; v1: KEEP_HOME=0.0 FLEET_SIZE=0.0/norm20.0; v2 (expert-replay calibrated): PROD_SHARE=0.0 PLANET_SHARE=0.0 FLEET_LOG=0.0/ref500.0/floor0.3; v3 (top10-2630ep calibrated): PROD_SHARE_DELTA=0.0 EMIT_LOG=0.0 EMIT_GATED=0.0 RELEASE=0.0/K20.0 CAPTURE=0.02; ANTI_HOARD=0.02/thresh0.55; episode_steps=500 (kaggle=500, mismatch=False); wins_needed=2 (multi-match=BO3)
[gated-pool] seed_paths=./ckpt_multi_action_v16a_capture/ckpt_003199.pkl snapshot_current=False
[shape-adapter] padded tensors:
  encoder/planet_proj/kernel: (39, 256) -> (63, 256)
  encoder/global_proj/kernel: (27, 256) -> (427, 256)
  emit_head/fc1/kernel: (527, 64) -> (532, 64)
  pct_head/fc1/kernel: (775, 128) -> (776, 128)
[gated-pool] shape-adapted seed opponent ./ckpt_multi_action_v16a_capture/ckpt_003199.pkl
upd   12  steps   26624  sps 397  opp rand  loss -0.077  pg -0.0751  v 0.004  ev +0.87  adv_std 0.097  tR +0.00  ent[s/d/p/e] 1.07/2.91/0.32/0.60  emits 0.95  spf 15.7  z0 0.44  garr 17.8  tG 175  e2 0.23  nF 18.4  pS 0.19  ptS 0.19  fLog 0.34  pdΔ -0.3083  pkR 16.31  clip 0.24  kl +0.006 align[spf 13.9 e2 0.22 z0 0.46 n=6]
upd   13  steps   28672  sps 425  opp frzn  loss -0.004  pg -0.0015  v 0.004  ev +0.86  adv_std 0.083  tR -0.60  ent[s/d/p/e] 1.09/2.91/0.36/0.53  emits 1.28  spf 14.9  z0 0.36  garr 20.2  tG 213  e2 0.31  nF 22.8  pS 0.21  ptS 0.21  fLog 0.33  pdΔ -0.2898  pkR 19.75  clip 0.39  kl +0.022 align[spf 14.1 e2 0.23 z0 0.45 n=7]
upd   14  steps   30720  sps 453  opp rand  loss -0.037  pg -0.0344  v 0.004  ev +0.88  adv_std 0.082  tR +1.00  ent[s/d/p/e] 1.17/2.90/0.37/0.57  emits 1.12  spf 16.8  z0 0.41  garr 16.4  tG 138  e2 0.27  nF 24.1  pS 0.20  ptS 0.19  fLog 0.35  pdΔ -0.3048  pkR 15.14  clip 0.16  kl +0.007 align[spf 14.1 e2 0.23 z0 0.45 n=7]
upd   15  steps   32768  sps 481  opp rand  loss -0.024  pg -0.0274  v 0.016  ev +0.66  adv_std 0.186  tR -0.68  ent[s/d/p/e] 1.06/2.91/0.29/0.58  emits 1.00  spf 15.2  z0 0.45  garr 13.9  tG 100  e2 0.23  nF 17.9  pS 0.16  ptS 0.16  fLog 0.34  pdΔ -0.3407  pkR 17.05  clip 0.15  kl +0.008 align[spf 14.1 e2 0.23 z0 0.45 n=7]
upd   16  steps   34816  sps 508  opp frzn  loss -0.056  pg -0.0551  v 0.008  ev +0.90  adv_std 0.075  tR -1.00  ent[s/d/p/e] 0.86/2.91/0.29/0.57  emits 0.91  spf 11.7  z0 0.46  garr 15.0  tG 85  e2 0.19  nF 16.1  pS 0.14  ptS 0.14  fLog 0.32  pdΔ -0.3619  pkR 20.60  clip 0.19  kl +0.004 align[spf 13.8 e2 0.23 z0 0.45 n=8]
upd   17  steps   36864  sps 535  opp rand  loss -0.028  pg -0.0263  v 0.006  ev +0.90  adv_std 0.071  tR -1.00  ent[s/d/p/e] 0.82/2.91/0.25/0.58  emits 1.05  spf 11.7  z0 0.39  garr 17.1  tG 102  e2 0.25  nF 19.1  pS 0.15  ptS 0.15  fLog 0.31  pdΔ -0.3541  pkR 14.15  clip 0.14  kl +0.003 align[spf 13.8 e2 0.23 z0 0.45 n=8]
upd   18  steps   38912  sps 562  opp rand  loss -0.063  pg -0.0596  v 0.002  ev +0.95  adv_std 0.061  tR -1.00  ent[s/d/p/e] 0.95/2.90/0.29/0.54  emits 1.16  spf 12.4  z0 0.37  garr 18.4  tG 136  e2 0.30  nF 22.9  pS 0.18  ptS 0.18  fLog 0.32  pdΔ -0.3212  pkR 13.14  clip 0.15  kl +0.003 align[spf 13.8 e2 0.23 z0 0.45 n=8]
upd   19  steps   40960  sps 589  opp rand  loss +0.038  pg +0.0412  v 0.002  ev +0.95  adv_std 0.059  tR -0.33  ent[s/d/p/e] 1.05/2.90/0.31/0.55  emits 1.22  spf 13.2  z0 0.37  garr 18.7  tG 140  e2 0.29  nF 24.7  pS 0.19  ptS 0.19  fLog 0.32  pdΔ -0.3087  pkR 11.63  clip 0.42  kl +0.025 align[spf 13.8 e2 0.23 z0 0.45 n=8]
upd   20  steps   43008  sps 615  opp frzn  loss -0.019  pg -0.0155  v 0.002  ev +0.93  adv_std 0.060  tR -1.00  ent[s/d/p/e] 0.97/2.90/0.33/0.53  emits 1.19  spf 11.3  z0 0.40  garr 23.3  tG 187  e2 0.30  nF 25.3  pS 0.19  ptS 0.20  fLog 0.31  pdΔ -0.3053  pkR 10.65  clip 0.27  kl +0.007 align[spf 13.5 e2 0.24 z0 0.45 n=9]
upd   21  steps   45056  sps 641  opp rand  loss +0.017  pg +0.0195  v 0.003  ev +0.91  adv_std 0.071  tR +0.33  ent[s/d/p/e] 1.04/2.90/0.25/0.49  emits 1.23  spf 11.6  z0 0.37  garr 26.6  tG 235  e2 0.33  nF 24.9  pS 0.20  ptS 0.21  fLog 0.31  pdΔ -0.2988  pkR 11.25  clip 0.10  kl +0.004 align[spf 13.5 e2 0.24 z0 0.45 n=9]
